"v1";"v1_classe";"v2";"v2_classe";"data$asso";"link_genus"
"Navicula";"Bacillariophyceae";"Gymnodiniales";"Dinophyceae";0,298444400563144;"Bacillariophyceae-Dinophyceae"
"Paralia";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,135320297860579;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,147481438690604;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Bacillaria";"Bacillariophyceae";0,138308375758364;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";0,369147729342124;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Guinardia";"Bacillariophyceae";0,0542361411691298;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Odontella";"Bacillariophyceae";0,286547416682268;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Plagiogramma";"Bacillariophyceae";0,115986827199256;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";0,470591403278964;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,151720652135584;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,16922493899031;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,0894995237532349;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Meuniera";"Bacillariophyceae";0,121302571078246;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,053348502792495;"Bacillariophyceae-Dinophyceae"
"Paralia";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,0755644432135443;"Bacillariophyceae-Haptophyta"
"Paralia";"Bacillariophyceae";"Diploneis";"Bacillariophyceae";0,188296146674277;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Trigonium";"Bacillariophyceae";0,249533754024434;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Helicotheca";"Bacillariophyceae";0,119396791974615;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Dictyocha";"Dictyochophyceae";0,153888537876532;"Bacillariophyceae-Dictyochophyceae"
"Paralia";"Bacillariophyceae";"Porosira";"Bacillariophyceae";0,118845449214465;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Katodinium";"Dinophyceae";0,162639494526188;"Bacillariophyceae-Dinophyceae"
"Paralia";"Bacillariophyceae";"Torodinium";"Dinophyceae";0,124719887370456;"Bacillariophyceae-Dinophyceae"
"Paralia";"Bacillariophyceae";"Ciliophora.x";"Ciliophora";0,19040842209996;"Bacillariophyceae-Ciliophora"
"Paralia";"Bacillariophyceae";"Amphidinium";"Dinophyceae";0,0763301378164741;"Bacillariophyceae-Dinophyceae"
"Paralia";"Bacillariophyceae";"Pennées";"Bacillariophyceae";0,175034810881677;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Cryptophyceae.x";"Cryptophyceae";0,30007938540328;"Bacillariophyceae-Cryptophyceae"
"Paralia";"Bacillariophyceae";"Chlorophyceae";"Chlorophyta";0,0956198371719888;"Bacillariophyceae-Chlorophyta"
"Paralia";"Bacillariophyceae";"Brockmanniella";"Bacillariophyceae";0,319892013727579;"Bacillariophyceae-Bacillariophyceae"
"Paralia";"Bacillariophyceae";"Karlodinium";"Dinophyceae";0,0950523255537112;"Bacillariophyceae-Dinophyceae"
