"v1";"v1_classe";"v2";"v2_classe";"data_edge$asso";"link_genus";"Sign"
"Dinophysis";"Dinophyceae";"Rhaphoneis";"Bacillariophyceae";-0,241930370718248;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Rhizosolenia";"Bacillariophyceae";-0,135184703406103;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Trieres";"Bacillariophyceae";-0,126793003726733;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Lauderia";"Bacillariophyceae";-0,123571937325766;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Leptocylindrus";"Bacillariophyceae";0,29919639250533;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Meuniera";"Bacillariophyceae";-0,0910315117953423;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Protoperidinium";"Dinophyceae";0,137146829702944;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Dactyliosolen";"Bacillariophyceae";0,162789302683422;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Phaeocystis";"Haptophyta";-0,145343273353379;"Dinophyceae-Haptophyta";"-"
"Dinophysis";"Dinophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,0817589853555008;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Eucampia";"Bacillariophyceae";0,272673720078747;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Akashiwo";"Dinophyceae";0,213221238927599;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Diplopsalis";"Dinophyceae";0,164632558852186;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Euglenoidea";"Euglenozoa";0,0694173510499323;"Dinophyceae-Euglenozoa";"+"
"Dinophysis";"Dinophyceae";"Dictyocha";"Dictyochophyceae";-0,0525309312738366;"Dictyochophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Porosira";"Bacillariophyceae";-0,0670014516900104;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Scrippsiella";"Dinophyceae";0,39205151482512;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Ciliophora.x";"Ciliophora";-0,0842267809086938;"Ciliophora-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Heterocapsa";"Dinophyceae";0,101922120213687;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Cryptophyceae.x";"Cryptophyceae";-0,146743032485892;"Cryptophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Peridiniales";"Dinophyceae";0,149378990892099;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Mesodinium";"Ciliophora";0,0872483858925127;"Ciliophora-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Alexandrium";"Dinophyceae";0,212570469125545;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Chlorophyceae";"Chlorophyta";-0,0825919887260244;"Chlorophyta-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Lithodesmium";"Bacillariophyceae";0,320896982033777;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Polykrikos";"Dinophyceae";0,117442772074666;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Gonyaulax";"Dinophyceae";0,283073686676691;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Pyramimonas";"Chlorophyta";0,233576108629045;"Chlorophyta-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Dinoflagellata.x";"Dinophyceae";0,0835056039673505;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Brockmanniella";"Bacillariophyceae";-0,135171634522483;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Karlodinium";"Dinophyceae";-0,0542920052354668;"Dinophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Delphineis";"Bacillariophyceae";-0,122360834104752;"Bacillariophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Eutreptiella";"Euglenozoa";-0,125013845932119;"Dinophyceae-Euglenozoa";"-"
"Dinophysis";"Dinophyceae";"Bacillariaceae";"Bacillariophyceae";0,0702458056857961;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Cylindrotheca";"Bacillariophyceae";0,113085019417852;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Naviculaceae";"Bacillariophyceae";0,102067266298665;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Gymnodiniales";"Dinophyceae";-0,06673514318567;"Dinophyceae-Dinophyceae";"-"
"Dinophysis";"Dinophyceae";"Gymnodiniaceae";"Dinophyceae";0,185540239001109;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Euglenaceae";"Euglenozoa";0,0908578342959194;"Dinophyceae-Euglenozoa";"+"
"Dinophysis";"Dinophyceae";"Thalassiosiraceae";"Bacillariophyceae";0,0777746449457111;"Bacillariophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Dinophyceae.x";"Dinophyceae";0,0488324999166749;"Dinophyceae-Dinophyceae";"+"
"Dinophysis";"Dinophyceae";"Euglenia";"Euglenozoa";0,184031254263327;"Dinophyceae-Euglenozoa";"+"
"Dinophysis";"Dinophyceae";"Plagiolemma";"Bacillariophyceae";0,0849515945309191;"Bacillariophyceae-Dinophyceae";"+"
"Ditylum";"Bacillariophyceae";"Navicula";"Bacillariophyceae";-0,201516060555134;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Paralia";"Bacillariophyceae";-0,0981474154621769;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Pleurosigma";"Bacillariophyceae";0,0753686681163373;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Thalassiosira";"Bacillariophyceae";0,399435620416089;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Asterionella";"Bacillariophyceae";0,0618115709814223;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Bacillaria";"Bacillariophyceae";0,0624507522021268;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Biddulphia";"Bacillariophyceae";-0,0510779269996348;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Chaetoceros";"Bacillariophyceae";0,364805174560074;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Melosira";"Bacillariophyceae";0,0495182782596627;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Nitzschia";"Bacillariophyceae";0,145076074561532;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Rhaphoneis";"Bacillariophyceae";-0,0579681441722255;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Rhizosolenia";"Bacillariophyceae";0,139067414258177;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Skeletonema";"Bacillariophyceae";0,248173273621254;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Thalassionema";"Bacillariophyceae";0,334243470506404;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Trieres";"Bacillariophyceae";0,0801592462610832;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Lauderia";"Bacillariophyceae";0,335261304028128;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Leptocylindrus";"Bacillariophyceae";-0,0785539225679312;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Meuniera";"Bacillariophyceae";-0,0597752694895797;"Bacillariophyceae-Bacillariophyceae";"-"
"Ditylum";"Bacillariophyceae";"Dactyliosolen";"Bacillariophyceae";0,126273989231795;"Bacillariophyceae-Bacillariophyceae";"+"
"Ditylum";"Bacillariophyceae";"Gyrodinium";"Dinophyceae";0,0803028400367855;"Bacillariophyceae-Dinophyceae";"+"
"Ditylum";"Bacillariophyceae";"Phaeocystis";"Haptophyta";0,0743787663885068;"Bacillariophyceae-Haptophyta";"+"
"Ditylum";"Bacillariophyceae";"Pseudo-nitzschia";"Bacillariophyceae";0,213996143870369;"Bacillariophyceae-Bacillariophyceae";"+"
